applicant_name,gender,age,city,employment_type,bank,monthly_income_pkr,credit_score,loan_amount_pkr,loan_tenure_months,existing_loans,default_history,has_credit_card,approved
Muhammad Siddiqui,M,40,Lahore,Business Owner,Askari,167100,679,862000,12,2,1,1,0
Moiz Gill,M,60,Karachi,Salaried,HBL,151800,762,74000,24,0,0,1,1
Mehak Zafar,F,37,Faisalabad,Salaried,Askari,167700,727,1368000,48,1,0,0,0
Rizwan Akhtar,M,50,Islamabad,Salaried,MCB,85700,657,50000,48,0,0,1,1
Taha Mehmood,M,37,Karachi,Salaried,JS Bank,131900,795,892000,6,1,1,1,0
Hamza Butt,M,23,Karachi,Salaried,NBP,55300,727,1544000,48,2,0,0,0
Areeba Butt,F,52,Karachi,Salaried,MCB,114900,766,469000,12,0,0,0,1
Danish Zafar,M,34,Islamabad,Salaried,Alfalah,87600,590,1145000,36,0,0,1,0
Hamza Haider,M,44,Karachi,Salaried,Faysal Bank,115700,653,151000,24,2,0,1,0
Amna Mahmood,F,34,Islamabad,Contract,Askari,96300,631,619000,24,1,0,1,0
Sidra Iqbal,F,50,Karachi,Self-Employed,Meezan,97100,676,1277000,12,0,0,1,0
Anum Chaudhry,F,53,Peshawar,Salaried,HBL,161600,656,810000,36,3,0,1,0
Hina Mirza,F,50,Multan,Business Owner,JS Bank,192800,772,50000,18,1,0,1,1
Rida Shah,F,56,Islamabad,Self-Employed,HBL,132200,631,596000,24,0,0,1,0
Arslan Siddiqui,M,48,Karachi,Salaried,Faysal Bank,234900,663,50000,36,0,0,1,1
Haroon Nawaz,M,42,Karachi,Self-Employed,JS Bank,79600,735,707000,12,0,0,1,0
Ayesha Naseer,F,51,Karachi,Contract,MCB,54000,591,470000,18,0,1,0,0
Areeba Latif,F,48,Lahore,Salaried,MCB,185900,670,50000,48,0,1,1,0
Noor Farooq,F,29,Karachi,Unemployed,Faysal Bank,40300,693,426000,18,2,1,1,0
Hassan Mahmood,M,32,Islamabad,Salaried,HBL,171600,650,260000,24,1,0,0,1
Shahzeb Chaudhry,M,24,Peshawar,Salaried,NBP,185200,646,892000,60,3,0,1,0
Noman Tariq,M,51,Karachi,Salaried,MCB,182800,701,418000,24,0,1,0,0
Faisal Siddiqui,M,27,Peshawar,Salaried,MCB,83600,619,935000,18,0,0,1,0
Hussain Javed,M,24,Lahore,Salaried,UBL,114000,697,1107000,36,0,0,0,0
Ayesha Aslam,F,53,Karachi,Contract,Askari,129400,647,1543000,18,0,0,1,0
Danish Haider,M,23,Karachi,Self-Employed,Alfalah,69400,697,905000,12,0,0,0,0
Sajid Qureshi,M,59,Karachi,Contract,MCB,75400,729,1051000,18,1,0,1,0
Shahzeb Mehmood,M,29,Islamabad,Self-Employed,UBL,230900,711,692000,12,0,0,0,1
Kashif Ali,M,58,Karachi,Business Owner,JS Bank,91400,661,359000,36,3,0,0,0
Dania Mirza,F,47,Lahore,Salaried,Standard Chartered,143000,847,1083000,48,1,0,0,0
Awais Saleem,M,21,Faisalabad,Business Owner,JS Bank,165900,719,869000,12,0,0,1,0
Noman Raza,M,52,Lahore,Business Owner,Askari,190400,614,819000,48,0,1,1,0
Umar Siddiqui,M,60,Karachi,Self-Employed,Alfalah,74100,733,771000,24,0,0,0,0
Muhammad Shah,M,57,Multan,Self-Employed,HBL,164100,655,661000,60,0,0,1,0
Faisal Hussain,M,56,Karachi,Business Owner,NBP,59500,722,497000,12,0,0,0,0
Noor Hussain,F,30,Faisalabad,Salaried,HBL,105400,705,781000,36,1,0,0,0
Alina Mehmood,F,28,Rawalpindi,Salaried,MCB,114700,694,370000,6,0,0,0,1
Anas Rajput,M,33,Multan,Contract,UBL,111200,712,1431000,60,1,0,1,0
Zain Mirza,M,43,Lahore,Salaried,Alfalah,175000,594,920000,24,2,0,1,0
Haroon Ahmed,M,52,Quetta,Salaried,Standard Chartered,81200,630,50000,48,0,1,0,0
Haroon Khan,M,60,Karachi,Self-Employed,NBP,185800,637,1423000,24,1,0,1,0
Hamza Hussain,M,40,Lahore,Salaried,Askari,184200,647,1482000,48,0,0,0,0
Alina Rashid,F,39,Rawalpindi,Business Owner,MCB,117700,785,707000,36,1,0,0,1
Junaid Tariq,M,54,Peshawar,Self-Employed,HBL,52500,715,615000,36,0,1,1,0
Maham Mehmood,F,59,Rawalpindi,Unemployed,NBP,26400,702,1408000,36,1,1,1,0
Shahzaib Malik,M,38,Rawalpindi,Self-Employed,Askari,198400,676,1442000,18,1,0,1,1
Sahar Khan,F,42,Sialkot,Self-Employed,UBL,203400,842,50000,24,0,0,1,1
Imran Siddiqui,M,31,Lahore,Salaried,Meezan,87900,635,1199000,60,0,0,1,0
Tufail Zafar,M,34,Lahore,Salaried,NBP,127200,740,1389000,6,0,1,1,0
Usman Ali,M,51,Rawalpindi,Salaried,UBL,153300,742,492000,6,2,1,0,0
Maryam Akhtar,F,27,Karachi,Self-Employed,MCB,190200,737,358000,24,0,0,1,1
Hamza Mirza,M,32,Lahore,Business Owner,MCB,207200,654,1126000,36,0,0,0,0
Shahzaib Niaz,M,25,Rawalpindi,Salaried,Meezan,184200,608,1816000,12,0,0,1,0
Faisal Shah,M,31,Lahore,Self-Employed,MCB,179500,710,1506000,18,0,0,1,1
Tufail Shah,M,49,Peshawar,Salaried,Askari,118500,687,1178000,36,1,0,1,1
Ibrahim Akhtar,M,55,Islamabad,Self-Employed,Faysal Bank,152000,664,747000,18,2,1,1,0
Noman Siddiqui,M,34,Rawalpindi,Business Owner,HBL,176300,652,827000,12,1,0,0,1
Kashif Butt,M,56,Karachi,Salaried,UBL,150900,739,783000,18,2,0,0,1
Taha Tariq,M,37,Sialkot,Self-Employed,Askari,64800,668,664000,24,0,0,1,0
Amna Niaz,F,31,Gujranwala,Salaried,NBP,93700,616,482000,6,0,0,1,0
Sara Saeed,F,58,Rawalpindi,Salaried,Standard Chartered,136200,859,1154000,18,0,1,0,0
Rizwan Ali,M,41,Karachi,Self-Employed,Standard Chartered,183700,781,123000,36,0,0,0,1
Haroon Rashid,M,28,Islamabad,Salaried,Faysal Bank,162700,652,1223000,12,3,0,1,0
Awais Saleem,M,29,Karachi,Salaried,MCB,25000,806,553000,12,1,0,1,0
Arslan Tariq,M,35,Karachi,Self-Employed,NBP,201200,583,1048000,48,0,0,0,0
Bilal Nawaz,M,25,Karachi,Business Owner,JS Bank,171200,596,428000,24,1,0,0,0
Bilal Rashid,M,57,Karachi,Self-Employed,JS Bank,60200,646,50000,12,0,1,1,0
Junaid Mirza,M,45,Hyderabad,Salaried,Askari,89900,776,1530000,12,2,0,0,0
Hira Ali,F,58,Faisalabad,Salaried,Faysal Bank,47800,634,1296000,6,0,0,0,0
Rizwan Hussain,M,30,Rawalpindi,Salaried,JS Bank,135700,742,638000,36,0,0,1,0
Laiba Aslam,F,53,Faisalabad,Contract,Faysal Bank,87500,615,1834000,60,0,0,1,0
Ahmed Siddiqui,M,48,Lahore,Self-Employed,Alfalah,112700,694,1624000,18,1,0,1,0
Shahzaib Mirza,M,36,Gujranwala,Salaried,NBP,222100,695,1092000,48,0,0,0,0
Bilal Naseer,M,34,Islamabad,Salaried,Askari,146000,635,78000,60,0,0,0,0
Kiran Chaudhry,F,26,Karachi,Salaried,UBL,166200,716,130000,48,1,0,1,1
Laiba Saeed,F,52,Rawalpindi,Salaried,UBL,109900,618,890000,24,2,0,0,0
Ibrahim Qureshi,M,52,Islamabad,Self-Employed,Askari,140600,597,1318000,24,0,0,0,0
Hussain Nawaz,M,43,Islamabad,Salaried,Alfalah,117100,643,1657000,36,1,0,0,0
Shahzeb Shah,M,54,Karachi,Salaried,Alfalah,163700,600,932000,18,0,0,0,0
Saad Saleem,M,45,Islamabad,Salaried,MCB,163200,593,1216000,60,0,0,1,0
Junaid Hussain,M,49,Karachi,Business Owner,Faysal Bank,170100,799,1402000,12,0,0,0,0
Sameer Haider,M,60,Multan,Salaried,HBL,81900,666,50000,24,0,0,0,1
Zain Chaudhry,M,34,Islamabad,Business Owner,JS Bank,245800,669,513000,24,0,0,1,1
Hafsa Saleem,F,47,Rawalpindi,Salaried,UBL,126000,661,1018000,24,2,0,0,0
Rizwan Ahmed,M,47,Islamabad,Salaried,NBP,39000,646,1093000,36,2,0,0,0
Taha Tariq,M,57,Gujranwala,Contract,MCB,197300,503,261000,24,0,0,0,1
Danish Rehman,M,49,Karachi,Salaried,MCB,137200,748,1151000,36,2,0,0,0
Ali Aslam,M,31,Lahore,Salaried,HBL,124800,826,1205000,48,1,0,1,1
Ali Awan,M,56,Rawalpindi,Salaried,Alfalah,37100,646,916000,60,2,0,0,0
Laiba Tariq,F,53,Islamabad,Salaried,Faysal Bank,157200,689,1134000,18,3,0,1,0
Alina Hussain,F,26,Faisalabad,Salaried,MCB,58000,700,976000,12,1,0,1,0
Anas Rajput,M,50,Gujranwala,Self-Employed,Meezan,231700,649,1048000,12,0,0,0,0
Maham Saleem,F,31,Lahore,Salaried,Meezan,25000,640,690000,12,2,0,0,0
Bilal Qureshi,M,31,Faisalabad,Contract,Faysal Bank,134500,706,426000,12,2,0,0,1
Sameer Butt,M,37,Lahore,Business Owner,Meezan,255100,587,697000,36,0,0,0,0
Sajid Shah,M,33,Faisalabad,Contract,UBL,111800,741,967000,6,0,0,0,0
Kashif Mehmood,M,53,Lahore,Self-Employed,Askari,145100,647,50000,24,3,0,1,1
Muhammad Malik,M,28,Lahore,Salaried,NBP,134300,525,223000,12,0,0,0,0
Alina Mahmood,F,56,Sialkot,Self-Employed,UBL,47300,604,423000,6,2,0,1,0
Tufail Tariq,M,23,Rawalpindi,Self-Employed,UBL,109900,657,50000,6,0,0,0,1
Fariha Amin,F,32,Rawalpindi,Business Owner,Meezan,180000,741,780000,12,0,0,0,0
Hira Latif,F,39,Lahore,Salaried,JS Bank,159400,775,50000,60,2,0,0,1
Alina Akhtar,F,41,Karachi,Salaried,Standard Chartered,159900,737,1000000,6,3,0,0,0
Faisal Amin,M,56,Lahore,Self-Employed,NBP,86100,710,628000,36,1,0,1,0
Sahar Akhtar,F,45,Karachi,Salaried,UBL,155300,737,896000,6,1,1,0,0
Noman Amin,M,42,Faisalabad,Unemployed,HBL,38100,636,1368000,24,0,0,0,0
Moiz Ahmed,M,27,Faisalabad,Salaried,HBL,28200,721,1192000,12,0,0,0,0
Hamza Naseer,M,22,Karachi,Self-Employed,JS Bank,58600,760,192000,6,0,0,1,1
Mahnoor Javed,F,52,Lahore,Business Owner,NBP,219200,621,335000,24,0,0,1,1
Ali Mehmood,M,44,Peshawar,Salaried,Askari,120400,626,384000,24,0,0,0,0
Muhammad Syed,M,39,Karachi,Self-Employed,MCB,197100,647,2169000,6,0,0,0,1
Fariha Siddiqui,F,41,Lahore,Contract,MCB,177100,576,50000,6,0,0,1,1
Danish Mehmood,M,56,Karachi,Contract,Askari,151200,768,644000,12,2,0,0,0
Hafsa Iqbal,F,39,Lahore,Salaried,Standard Chartered,97900,644,1351000,48,1,0,1,0
Faisal Niaz,M,42,Lahore,Salaried,UBL,101500,566,757000,6,0,0,1,0
Noman Awan,M,41,Lahore,Salaried,Askari,116000,516,661000,48,0,0,1,1
Tufail Rashid,M,54,Multan,Salaried,Faysal Bank,146700,788,1501000,12,1,0,0,0
Faisal Niaz,M,29,Lahore,Salaried,Faysal Bank,175200,753,50000,24,0,0,0,1
Noman Akhtar,M,22,Karachi,Salaried,NBP,43600,623,1055000,12,0,0,0,0
Danish Haider,M,59,Faisalabad,Salaried,JS Bank,126500,728,424000,36,0,0,0,0
Noman Saleem,M,38,Karachi,Salaried,Alfalah,162500,599,910000,12,0,0,0,0
Zoya Khan,F,44,Faisalabad,Contract,Faysal Bank,151500,675,1354000,36,1,0,1,0
Zainab Aslam,F,37,Lahore,Self-Employed,Standard Chartered,204700,627,504000,18,0,0,0,1
Kashif Khan,M,32,Karachi,Salaried,JS Bank,43600,599,739000,12,0,0,0,0
Noman Nawaz,M,28,Karachi,Salaried,JS Bank,42400,743,1329000,6,0,0,0,0
Faiz Chaudhry,M,48,Multan,Salaried,UBL,142700,706,50000,12,1,0,1,0
Maham Zafar,F,43,Karachi,Self-Employed,UBL,229200,656,1171000,24,0,0,1,0
Dania Tariq,F,46,Gujranwala,Salaried,MCB,132900,730,512000,18,0,0,0,0
Noman Farooq,M,51,Lahore,Self-Employed,Faysal Bank,137800,689,1270000,6,2,0,1,0
Shahzeb Tariq,M,32,Faisalabad,Salaried,Askari,67000,626,707000,24,1,0,0,0
Sana Aslam,F,40,Islamabad,Self-Employed,HBL,102300,614,534000,48,1,0,0,1
Mehak Raza,F,45,Gujranwala,Salaried,JS Bank,79100,737,882000,36,0,0,1,0
Ammar Khan,M,54,Karachi,Salaried,Faysal Bank,109000,688,1399000,36,0,0,0,0
Nimra Mahmood,F,24,Lahore,Salaried,Standard Chartered,92200,662,582000,36,1,0,1,0
Zain Rajput,M,32,Peshawar,Salaried,UBL,147500,664,549000,6,0,0,1,0
Taha Rehman,M,28,Karachi,Salaried,MCB,178100,758,1390000,48,0,0,1,0
Fariha Iqbal,F,32,Islamabad,Salaried,HBL,107800,730,748000,60,0,0,0,1
Hussain Latif,M,58,Peshawar,Business Owner,Standard Chartered,131100,676,622000,36,0,0,0,1
Abdullah Malik,M,27,Gujranwala,Salaried,Askari,94200,841,648000,12,0,0,0,1
Fatima Javed,F,51,Multan,Self-Employed,HBL,230100,679,1270000,24,1,0,0,1
Sara Tariq,F,52,Karachi,Salaried,Meezan,70500,717,1193000,24,0,0,0,0
Noman Nawaz,M,50,Islamabad,Salaried,Meezan,127700,733,325000,60,3,0,1,0
Umar Mahmood,M,26,Rawalpindi,Salaried,Alfalah,69900,560,517000,6,0,0,0,1
Sana Khan,F,24,Karachi,Salaried,HBL,34600,663,1248000,6,0,0,0,0
Hamza Aslam,M,26,Rawalpindi,Self-Employed,Standard Chartered,116500,672,1047000,12,2,0,1,0
Eman Zafar,F,54,Quetta,Business Owner,MCB,167200,510,50000,24,0,0,1,0
Saba Ahmed,F,21,Rawalpindi,Salaried,HBL,79200,702,911000,24,2,0,0,0
Noman Tariq,M,49,Lahore,Business Owner,Faysal Bank,101800,553,722000,12,0,0,0,0
Anas Ahmed,M,36,Faisalabad,Salaried,MCB,65500,873,1329000,18,1,0,1,0
Zainab Farooq,F,58,Karachi,Self-Employed,JS Bank,124200,736,1596000,24,1,0,1,1
Ayesha Haider,F,38,Rawalpindi,Salaried,MCB,111800,618,616000,24,1,0,1,0
Taha Naseer,M,39,Lahore,Self-Employed,JS Bank,212900,841,2110000,60,0,0,1,1
Zain Qureshi,M,39,Islamabad,Salaried,UBL,159800,761,50000,18,0,0,0,1
Anaya Iqbal,F,53,Lahore,Salaried,MCB,117600,725,719000,60,0,0,1,0
Junaid Khan,M,51,Lahore,Self-Employed,UBL,71300,710,803000,48,0,0,1,0
Awais Aslam,M,59,Karachi,Salaried,UBL,66100,660,1144000,36,1,0,0,0
Alina Malik,F,37,Islamabad,Salaried,MCB,142700,665,1271000,60,0,0,1,1
Sana Rehman,F,54,Sialkot,Self-Employed,MCB,255400,722,1374000,24,0,0,1,0
Bushra Haider,F,21,Lahore,Self-Employed,UBL,126200,829,1181000,12,0,0,0,0
Anum Mahmood,F,45,Islamabad,Self-Employed,Faysal Bank,48300,738,960000,12,1,0,0,0
Ahmed Hussain,M,45,Faisalabad,Business Owner,MCB,203200,802,702000,36,3,0,0,0
Hina Farooq,F,23,Islamabad,Salaried,Meezan,172500,695,216000,12,0,0,0,0
Hamza Sheikh,M,27,Peshawar,Self-Employed,Askari,155100,645,663000,24,1,0,1,1
Danish Malik,M,59,Hyderabad,Salaried,Faysal Bank,117300,807,717000,36,1,0,1,0
Sidra Zafar,F,22,Peshawar,Salaried,UBL,85600,821,140000,12,0,0,0,1
Eman Zafar,F,41,Lahore,Self-Employed,Meezan,90700,606,1191000,24,1,0,0,0
Mahnoor Gill,F,52,Karachi,Salaried,Faysal Bank,139900,677,423000,48,0,0,1,1
Arslan Butt,M,60,Lahore,Contract,Meezan,67400,763,1087000,18,2,0,1,0
Ayesha Rashid,F,30,Lahore,Salaried,Alfalah,135200,644,977000,36,0,0,0,0
Noman Mehmood,M,45,Karachi,Salaried,JS Bank,83600,670,193000,60,1,0,0,1
Rabia Qureshi,F,51,Multan,Salaried,Askari,162200,776,315000,24,1,0,1,0
Sana Siddiqui,F,57,Peshawar,Business Owner,Meezan,137300,691,473000,18,0,0,0,1
Sohail Butt,M,46,Islamabad,Salaried,Standard Chartered,115000,666,552000,6,0,0,0,1
Sara Farooq,F,30,Islamabad,Salaried,Standard Chartered,140300,715,1523000,6,0,0,0,0
Junaid Mirza,M,56,Lahore,Self-Employed,JS Bank,199500,735,913000,36,0,0,1,1
Eman Butt,F,58,Sialkot,Salaried,JS Bank,154600,491,441000,36,0,0,1,0
Dania Rashid,F,35,Lahore,Self-Employed,HBL,142900,835,1150000,24,1,0,1,1
Laiba Mirza,F,40,Karachi,Business Owner,Meezan,165200,700,1564000,36,2,0,1,0
Moiz Tariq,M,47,Sialkot,Unemployed,Meezan,17500,752,547000,18,1,0,1,0
Danish Hussain,M,54,Multan,Salaried,UBL,108600,763,766000,48,0,0,1,1
Sara Rashid,F,43,Lahore,Self-Employed,JS Bank,212600,610,492000,24,0,0,1,1
Eman Iqbal,F,50,Islamabad,Self-Employed,Alfalah,144600,549,1097000,12,0,0,1,0
Zainab Mehmood,F,52,Islamabad,Salaried,Faysal Bank,86400,754,1048000,60,2,0,0,0
Farhan Raza,M,29,Peshawar,Contract,HBL,131200,756,931000,12,0,0,0,0
Anas Gill,M,34,Islamabad,Business Owner,NBP,173100,628,847000,12,1,0,1,0
Nimra Awan,F,54,Lahore,Salaried,UBL,34300,786,183000,48,1,0,1,0
Sidra Rashid,F,44,Islamabad,Unemployed,Alfalah,20400,622,50000,18,1,0,0,0
Taha Akhtar,M,29,Sialkot,Salaried,Meezan,66000,649,788000,24,0,0,0,0
Usman Malik,M,42,Karachi,Salaried,Askari,73400,677,227000,60,2,0,1,1
Shahzeb Saleem,M,29,Rawalpindi,Salaried,Meezan,90700,601,917000,60,1,0,0,0
Sajid Iqbal,M,22,Karachi,Salaried,JS Bank,148400,651,82000,12,1,1,0,0
Abdullah Akhtar,M,39,Karachi,Salaried,HBL,76600,712,535000,6,0,0,1,0
Abdullah Mirza,M,22,Rawalpindi,Contract,Meezan,50800,763,569000,18,0,0,1,0
Ahmed Rashid,M,59,Rawalpindi,Business Owner,Alfalah,206800,693,50000,48,1,0,1,1
Alina Qureshi,F,57,Multan,Self-Employed,Standard Chartered,131500,661,357000,36,0,0,0,1
Anum Niaz,F,29,Islamabad,Salaried,Faysal Bank,158400,609,932000,24,0,0,0,1
Maham Siddiqui,F,46,Multan,Business Owner,Alfalah,169900,676,1574000,24,2,0,0,0
Junaid Saleem,M,36,Lahore,Salaried,Faysal Bank,287400,622,1553000,60,2,0,0,1
Hamza Farooq,M,45,Karachi,Contract,Faysal Bank,96000,616,913000,36,0,0,1,0
Ali Mirza,M,41,Lahore,Salaried,NBP,82200,621,950000,48,2,0,1,0
Faisal Rajput,M,50,Karachi,Salaried,JS Bank,131100,701,1250000,18,0,0,0,0
Awais Farooq,M,51,Islamabad,Salaried,JS Bank,105300,710,288000,18,2,0,1,0
Amna Zafar,F,21,Lahore,Business Owner,Standard Chartered,182200,669,94000,6,0,0,1,1
Ayesha Chaudhry,F,54,Karachi,Self-Employed,Askari,121600,762,352000,12,1,0,0,0
Sana Chaudhry,F,30,Lahore,Salaried,Faysal Bank,174200,752,606000,12,1,0,1,0
Rizwan Gill,M,46,Islamabad,Salaried,HBL,176600,620,1061000,18,0,0,1,1
Awais Mahmood,M,47,Lahore,Self-Employed,HBL,107100,789,205000,24,1,0,1,0
Rizwan Siddiqui,M,46,Karachi,Self-Employed,Alfalah,174800,528,1012000,24,1,0,1,0
Ali Syed,M,49,Hyderabad,Salaried,Standard Chartered,160100,745,646000,24,0,0,1,1
Alina Aslam,F,26,Multan,Business Owner,HBL,225500,697,285000,12,0,0,0,0
Anas Mahmood,M,46,Karachi,Business Owner,Alfalah,78100,655,1337000,48,1,0,0,0
Hira Niaz,F,36,Lahore,Salaried,Askari,138900,656,1258000,18,0,0,1,0
Saad Qureshi,M,37,Lahore,Salaried,UBL,73100,704,981000,48,1,0,0,0
Hina Sheikh,F,26,Gujranwala,Salaried,NBP,97000,650,1459000,24,0,0,1,0
Fatima Awan,F,44,Faisalabad,Self-Employed,Meezan,142900,728,806000,24,0,0,1,0
Danish Butt,M,33,Rawalpindi,Contract,Faysal Bank,78300,531,694000,18,1,0,0,0
Sahar Mahmood,F,48,Karachi,Salaried,NBP,120600,652,647000,24,2,0,0,0
Hamza Haider,M,40,Karachi,Business Owner,NBP,213900,709,215000,36,1,0,0,0
Hira Chaudhry,F,37,Hyderabad,Salaried,UBL,133700,678,734000,24,0,0,0,1
Alina Niaz,F,41,Lahore,Salaried,NBP,98900,606,662000,24,0,0,1,0
Hina Latif,F,43,Karachi,Business Owner,Faysal Bank,172900,678,470000,24,2,0,0,0
Anum Mahmood,F,48,Lahore,Self-Employed,NBP,149200,714,311000,60,0,0,1,1
Shahzeb Awan,M,24,Islamabad,Salaried,Standard Chartered,145800,708,1156000,12,2,0,0,0
Maham Rashid,F,53,Karachi,Self-Employed,Meezan,88600,661,1061000,60,1,0,1,0
Maryam Javed,F,27,Lahore,Self-Employed,Faysal Bank,123700,724,1110000,36,0,0,1,1
Imran Ahmed,M,30,Karachi,Salaried,Meezan,120800,651,372000,12,0,0,0,1
Saad Tariq,M,51,Lahore,Salaried,MCB,191200,657,1246000,60,1,0,0,0
Kiran Ahmed,F,21,Gujranwala,Contract,UBL,72100,742,1020000,18,1,0,0,0
Hassan Sheikh,M,36,Lahore,Contract,Meezan,112500,610,475000,24,1,0,0,0
Awais Shah,M,47,Multan,Contract,HBL,83000,687,880000,12,1,0,1,0
Sidra Tariq,F,52,Karachi,Self-Employed,Standard Chartered,85200,593,50000,12,0,0,1,1
Mehak Amin,F,56,Faisalabad,Salaried,JS Bank,138400,745,1583000,60,3,0,1,0
Shahzaib Butt,M,47,Lahore,Self-Employed,Askari,108100,701,821000,18,3,0,1,0
Usman Aslam,M,30,Lahore,Business Owner,Standard Chartered,222500,773,293000,36,0,0,1,1
Hussain Saleem,M,35,Islamabad,Unemployed,Standard Chartered,20900,781,1244000,36,0,0,1,0
Bushra Akhtar,F,21,Lahore,Self-Employed,NBP,133100,687,161000,6,0,0,1,1
Faisal Akhtar,M,51,Multan,Salaried,HBL,131700,590,881000,12,0,0,1,1
Tufail Siddiqui,M,21,Faisalabad,Salaried,JS Bank,119700,648,1005000,24,0,0,1,0
Nimra Raza,F,26,Karachi,Self-Employed,Askari,65200,640,1101000,24,0,1,0,0
Mahnoor Hussain,F,59,Lahore,Business Owner,UBL,81500,817,609000,48,0,0,1,1
Rabia Ali,F,27,Karachi,Contract,Faysal Bank,120700,711,675000,18,0,0,1,1
Hassan Mehmood,M,32,Karachi,Salaried,MCB,176300,733,1446000,24,2,0,1,1
Fatima Akhtar,F,37,Karachi,Salaried,JS Bank,63700,791,933000,6,0,0,0,0
Shahzeb Raza,M,26,Islamabad,Business Owner,MCB,33800,725,1102000,24,1,1,1,0
Danish Hussain,M,47,Faisalabad,Salaried,HBL,138600,703,327000,24,0,1,1,0
Laiba Saleem,F,33,Hyderabad,Salaried,Faysal Bank,145700,752,912000,48,3,0,1,1
Iqra Farooq,F,32,Lahore,Salaried,JS Bank,157200,549,699000,12,2,0,0,0
Hamza Mahmood,M,43,Karachi,Salaried,Standard Chartered,137800,600,50000,12,1,0,0,1
Nimra Gill,F,33,Rawalpindi,Salaried,MCB,151100,695,507000,24,0,1,0,0
Taha Gill,M,29,Karachi,Salaried,UBL,207800,752,704000,12,1,1,0,0
Farhan Hussain,M,55,Islamabad,Unemployed,NBP,22800,686,1132000,6,0,1,1,0
Noman Iqbal,M,44,Lahore,Salaried,NBP,172400,691,50000,48,1,0,0,0
Hamza Mehmood,M,56,Karachi,Business Owner,Alfalah,273500,554,1350000,36,1,0,1,0
Anaya Aslam,F,35,Karachi,Salaried,Askari,124700,764,1900000,18,2,0,1,0
Kiran Mahmood,F,57,Lahore,Contract,Standard Chartered,94000,802,908000,18,3,0,1,0
Sara Naseer,F,56,Karachi,Salaried,MCB,93700,587,478000,48,1,0,1,0
Zain Mahmood,M,21,Rawalpindi,Salaried,Standard Chartered,60400,549,551000,18,0,1,0,0
Saad Khan,M,26,Lahore,Self-Employed,Faysal Bank,28700,738,50000,48,3,0,0,0
Hussain Malik,M,52,Rawalpindi,Self-Employed,Faysal Bank,197000,749,566000,24,0,0,1,0
Maryam Siddiqui,F,32,Islamabad,Salaried,Alfalah,99500,445,50000,12,1,0,1,0
Moiz Naseer,M,51,Karachi,Salaried,Askari,112700,717,692000,18,0,0,0,0
Saad Syed,M,38,Lahore,Salaried,Meezan,75400,661,2484000,18,1,0,0,0
Saba Qureshi,F,31,Quetta,Salaried,Askari,112900,639,1153000,6,1,0,1,0
Dania Qureshi,F,29,Lahore,Salaried,Meezan,169200,576,473000,18,0,0,1,0
Ali Aslam,M,30,Karachi,Salaried,UBL,91100,700,50000,24,0,1,0,0
Faiz Rashid,M,47,Rawalpindi,Salaried,Alfalah,204900,636,571000,48,0,0,1,0
Hina Haider,F,22,Lahore,Self-Employed,NBP,126800,659,1235000,60,0,1,0,0
Faisal Ahmed,M,28,Lahore,Salaried,Standard Chartered,125000,823,806000,12,2,0,1,0
Bilal Qureshi,M,53,Karachi,Salaried,Faysal Bank,165400,808,1113000,36,0,0,0,1
Rabia Shah,F,33,Karachi,Salaried,NBP,159400,755,1593000,36,0,0,1,0
Hassan Nawaz,M,45,Islamabad,Self-Employed,Standard Chartered,184400,623,1208000,36,2,0,0,0
Moiz Iqbal,M,32,Lahore,Salaried,Askari,235300,640,980000,60,1,1,1,0
Bilal Butt,M,21,Lahore,Salaried,Alfalah,159100,672,639000,12,1,1,0,0
Tufail Gill,M,38,Quetta,Salaried,Askari,127000,757,259000,6,1,0,1,1
Haroon Javed,M,30,Karachi,Self-Employed,MCB,183700,591,1046000,6,0,1,1,0
Faisal Sheikh,M,50,Islamabad,Self-Employed,MCB,95600,630,1346000,36,1,0,1,0
Awais Siddiqui,M,54,Multan,Self-Employed,Alfalah,148200,693,50000,18,0,0,1,1
Hassan Aslam,M,56,Lahore,Self-Employed,Standard Chartered,253000,659,1335000,24,0,0,1,0
Anaya Niaz,F,45,Faisalabad,Salaried,Standard Chartered,102400,621,1265000,48,0,0,1,0
Ayesha Nawaz,F,24,Islamabad,Self-Employed,Meezan,176800,695,81000,24,0,0,0,1
Ibrahim Rajput,M,55,Lahore,Contract,Askari,80400,593,737000,48,1,0,0,0
Taha Shah,M,54,Peshawar,Salaried,MCB,81300,667,963000,18,1,0,1,0
Sahar Saleem,F,26,Lahore,Contract,MCB,82600,574,640000,12,2,1,1,0
Anum Rehman,F,37,Lahore,Salaried,Standard Chartered,196700,732,1574000,24,0,0,1,1
Anaya Butt,F,59,Rawalpindi,Salaried,NBP,138700,556,1448000,36,0,1,1,0
Arslan Rajput,M,53,Islamabad,Self-Employed,Meezan,124800,561,553000,12,0,0,1,0
Hassan Gill,M,29,Lahore,Salaried,Alfalah,108400,624,496000,36,0,0,1,0
Umar Qureshi,M,46,Rawalpindi,Unemployed,NBP,27300,570,993000,24,1,0,0,0
Maryam Mehmood,F,33,Rawalpindi,Salaried,NBP,126500,658,1011000,60,0,0,0,0
Abdullah Rehman,M,55,Lahore,Self-Employed,Alfalah,93300,643,376000,12,0,0,0,0
Umar Ahmed,M,58,Lahore,Salaried,Alfalah,143100,707,458000,48,0,0,0,1
